Filename;NasNet-L TOP5?;NasNet-L TOP1?;DenseNet 201 TOP5?;DenseNet 201 TOP1?;EfficientNetB7 TOP5?;EfficientNetB7 TOP1?;Classification Correct;Votes for easy to classify
0AKZCRZA.png;1;1;1;1;1;1;6;0
0PYwg4mI.png;1;1;0;0;1;1;4;0
0cbjzEYU.png;0;0;0;0;0;0;0;0
1002.png;1;1;1;1;1;0;5;5
1122.png;1;1;1;1;1;1;6;0
1432.png;1;1;0;0;1;1;4;0
15OshbSL.png;0;0;0;0;0;0;0;0
1952.png;0;0;0;0;0;0;0;5
1GM0KHq0.png;1;1;1;0;1;0;4;0
1GjI0YIS.png;0;0;1;0;0;0;1;0
1JjDOfGV.png;0;0;1;0;1;0;2;0
1U1JtTj5.png;0;0;0;0;0;0;0;0
1UXZfhm4.png;1;1;1;1;1;1;6;4
1hE4hLmY.png;1;0;1;1;1;0;4;0
1qi37zp9.png;0;0;0;0;0;0;0;0
2372.png;0;0;1;0;1;0;2;0
2462.png;0;0;1;0;0;0;1;0
2482.png;0;0;0;0;1;1;2;0
2492.png;0;0;0;0;1;1;2;0
2572.png;0;0;0;0;0;0;0;0
2632.png;0;0;0;0;0;0;0;0
2712.png;0;0;0;0;0;0;0;0
2952.png;0;0;0;0;1;1;2;0
3342.png;0;0;1;1;0;0;2;0
3732.png;0;0;0;0;0;0;0;5
3892.png;0;0;0;0;0;0;0;0
38aOJGmc.png;0;0;0;0;0;0;0;0
3HtNl6m1.png;1;1;1;1;1;1;6;0
3LMlKF8J.png;0;0;1;0;0;0;1;0
3dvapOjm.png;1;0;0;0;1;1;3;0
3qJF9mJq.png;0;0;0;0;0;0;0;0
3zjXPhH6.png;0;0;0;0;0;0;0;5
4112.png;1;0;1;1;1;0;4;4
4342.png;0;0;0;0;0;0;0;1
4532.png;1;1;1;1;1;1;6;0
4542.png;1;1;1;1;1;1;6;2
4GhWdDgL.png;0;0;0;0;0;0;0;0
5022.png;1;1;1;1;1;0;5;4
5392.png;0;0;0;0;0;0;0;0
571OQBB3.png;1;1;1;1;1;1;6;1
5RvkxlEn.png;1;0;1;0;1;0;3;0
5bUMtSIR.png;0;0;0;0;0;0;0;0
5jZ7JEaf.png;1;1;1;0;1;0;4;0
5sMX8TjO.png;0;0;1;1;1;1;4;1
61a6Lr0z.png;0;0;0;0;0;0;0;1
76YyJwJY.png;1;1;1;1;1;1;6;0
76jFmOA9.png;0;0;1;1;1;0;3;0
7OKvzizH.png;0;0;0;0;0;0;0;0
7hELOk55.png;1;1;0;0;1;1;4;2
8VsJwN6h.png;1;0;1;1;1;1;5;0
8uJvuh9c.png;0;0;0;0;1;0;1;0
